sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,soil_source_latitude,soil_source_longitude,soil_ph,soil_calcium_extractable,soil_magnesium_extractable,soil_carbon_organic,soil_iron_extractable,soil_match_distance_km,glim_id,lithology_detail,lithology_code,lithology_class,lithology_match_method,lithology_match_distance_km
MB18-081,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Mandoke 4,Spring,-3.198,36.85082,21.0,,1287.0,707.3,YES,YES,Elevation: 1476m,January-February 2015,2015,short_dry,85.13348389,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,15.381433921182277,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-082,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Nasura 1,Spring,-3.20053,36.85015,9.5,,388.0,234.85,YES,YES,Elevation: 1489m,January-February 2015,2015,short_dry,111.7688522,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,15.10621698458363,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-083,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Nasura 2,Spring,-3.20321,36.85243,31.0,,1848.0,1111.2,YES,YES,Elevation: 1489m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,14.777287443355236,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-084,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Ngarenanyuki,River,-3.20266,36.85678,30.0,,1852.0,1149.6,YES,YES,Elevation: 1489m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,14.742578070202345,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-085,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Nasura Water,Spring,-3.21665,36.8721,3.9,,346.0,243.65,YES,NO,Elevation: 1516m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,12.981352998394,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-086,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Ngujawi A,Spring,-3.216,36.87218,26.0,,1771.0,1086.0,YES,YES,Elevation: 1506m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,13.052792246115247,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-087,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Sekedo,Spring,-3.21173,36.87397,29.0,,1835.0,1212.0,YES,YES,Elevation: 1497m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,13.514007151167746,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-088,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Ngujawi B,Spring,-3.21244,36.8729,25.0,,2020.0,1290.0,YES,YES,Elevation: 1499m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,13.442278330104843,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-089,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Bulebule B,Spring,-3.17749,36.85318,9.5,,945.0,586.3,YES,YES,Elevation: 1454m,January-February 2015,2015,short_dry,85.13348389,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,17.567946803984754,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-090,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Olkung'wado Bulebule A,Spring,-3.1776,36.85306,7.2,,724.0,429.0,YES,YES,Elevation: 1452m,January-February 2015,2015,short_dry,85.13348389,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,17.55822211392985,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-091,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Uwiro,Ngali Maji,Spring,-3.15511,36.859,7.6,,851.0,515.9,YES,YES,Elevation: 1429m,January-February 2015,2015,short_dry,85.13348389,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,19.935081026675835,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-092,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Uwiro,Ngarenanyuki Pr/School,Spring,-3.15247,36.84129,4.7,,869.0,392.15,YES,YES,Elevation: 1478m,January-February 2015,2015,short_dry,107.2345862,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,20.256919412166535,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-093,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Kisimiri,Kismiri Chini,Spring,-3.17044,36.81693,5.6,,649.0,179.3,YES,YES,Elevation: 1613m,January-February 2015,2015,short_dry,107.2345862,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,18.180554221098067,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-094,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Kisimiri,Kismiri Juu,Spring,-3.17097,36.81117,1.5,,330.0,194.7,NO,NO,Elevation: 1663m,January-February 2015,2015,short_dry,107.2345862,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,18.159591632335236,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-095,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Lake Lekandiro,Lake,-3.21255,36.8948,,,9230.0,199.3,UNKNOWN,UNKNOWN,Elevation: 1469m,January-February 2015,2015,short_dry,92.61154175,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,13.493827421373803,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-096,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Lake Rishaten,Lake,-3.23163,36.83917,,,28900.0,897.7,UNKNOWN,UNKNOWN,Elevation: Nonem,January-February 2015,2015,short_dry,111.7688522,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,11.48920875518895,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-097,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Ngarenanyuki - Ngarenanyuki,Small spring Arusha NP,River,-3.24367,36.83916,10.2,,908.0,,YES,YES,Elevation: 1694m,January-February 2015,2015,short_dry,111.7688522,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,10.167153469752366,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-099,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Nkoarua,Mfulonyi,Spring,-3.34869,36.76672,0.92,,174.0,95.65,NO,NO,Elevation: 1482m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,6.542532092186655,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-100,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Filonyi,Camatec A,Spring,-3.33318,36.76793,0.81,,160.0,93.72,NO,NO,Elevation: 1586m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,6.1956807870576815,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-101,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Filonyi,Camatec B,Spring,-3.33272,36.76775,0.66,,162.0,90.53,NO,NO,Elevation: 1585m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,6.216439993876719,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-102,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Filonyi,Malala River,River,-3.3325,36.76791,2.2,,136.0,76.18,YES,NO,Elevation: 1585m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,6.199205079838324,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-103,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Ngwaimare,Spring,-3.35905,36.7558,1.1,,209.0,124.0,NO,NO,Elevation: 1451m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,7.154761187484146,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-104,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Petro Akyoo,Spring,-3.364,36.75856,1.7,,232.0,137.0,YES,NO,Elevation: 1425m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,6.532874918523142,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-105,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Uronyi Mzee Seeo,Spring,-3.36789,36.75935,2.2,,247.0,144.0,YES,NO,Elevation: 1383m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,6.143797897707935,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-106,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Lekuta,Spring,-3.36421,36.76149,2.0,,250.0,147.0,YES,NO,Elevation: 1415m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,6.315824005037118,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-107,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Lemteri,Spring,-3.36892,36.76375,1.4,,244.0,144.0,NO,NO,Elevation: 1373m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,5.746714548697054,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
