sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,glim_id,lithology_code,lithology_class,lithology_detail,soil_ph,calcium_extractable,magnesium_extractable,carbon_organic,iron_extractable,distance_to_soil
CB23-26,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,TUMULI,Groundwater/borehole,-5.0753,32.694317,2.39,7.78,996,528,YES,NO,Nitrate: 40.5 ppm,2021 - 2022,2022,long_dry,10.57762268,AFR7274,mt,metamorphic_rocks,mt____,,,,,,91900.1656
CB23-27,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,MILADE,Groundwater/borehole,-4.601567,34.587883,1.66,8.08,1300,637,YES,NO,Nitrate: 2.0 ppm,2021 - 2022,2022,long_dry,6.956260204,AFR9354,su,unconsolidated_sediments,suad__,,,,,,10507.08147
CB23-28,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,MSINKO,Groundwater/borehole,-4.642267,34.6611,1.9,7.64,698,177,YES,NO,Nitrate: 10.0 ppm,2021 - 2022,2022,long_dry,6.214540651,AFR7274,mt,metamorphic_rocks,mt____,,,,,,2752.028
CB23-29,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,SAGARA,Groundwater/borehole,-4.687333,35.105183,0.16,7.65,48,31.2,NO,NO,Nitrate: 1.8 ppm,2021 - 2022,2022,long_dry,7.014407177,AFR9346,ss,siliciclastic_sedimentary_rocks,ssmx__,,,,,,9984.757911
CB23-30,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,ITAJA,Groundwater/borehole,-4.711033,35.068133,2.28,8.22,1229,743,YES,NO,Nitrate: 20.0 ppm,2021 - 2022,2022,long_dry,7.3038808,AFR7274,mt,metamorphic_rocks,mt____,,,,,,8547.182922
CB23-31,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,MSIKII,Groundwater/borehole,-4.8095,34.9292,0.22,6.84,36.1,18.1,NO,NO,Nitrate: 11.7 ppm,2021 - 2022,2022,long_dry,9.41876407,AFR7274,mt,metamorphic_rocks,mt____,,,,,,3469.592549
CB23-32,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,MGHAMO,Groundwater/borehole,-4.8315,34.903017,0.39,6.5,258,127,NO,NO,Nitrate: 43.7 ppm,2021 - 2022,2022,long_dry,9.41876407,AFR7274,mt,metamorphic_rocks,mt____,,,,,,2258.181004
CB23-33,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,KISASIDA,Groundwater/borehole,-4.82925,34.8185,0.19,7.31,257,160,NO,NO,Nitrate: 7.31 ppm,2021 - 2022,2022,long_dry,2.380850665,AFR7274,mt,metamorphic_rocks,mt____,,,,,,5867.417889
CB23-34,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,KITITIMO,Groundwater/borehole,-4.825817,34.776233,0.2,6.68,452,226,NO,NO,Nitrate: 22.3 ppm,2021 - 2022,2022,long_dry,1.351866346,AFR7274,mt,metamorphic_rocks,mt____,,,,,,1171.028017
CB23-35,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,MAHEMBE,Groundwater/borehole,-4.832333,34.752233,0.39,8.01,384,193,NO,NO,Nitrate: 13.6 ppm,2021 - 2022,2022,long_dry,1.351866346,AFR7274,mt,metamorphic_rocks,mt____,,,,,,1406.961583
